student_id,week,conv_round,conv_length
student_001,1,69,7744
student_001,2,0,0
student_001,3,0,0
student_001,4,0,0
student_001,5,0,0
student_001,6,0,0
student_001,7,0,0
student_001,8,0,0
student_001,9,0,0
student_002,1,0,0
student_002,2,0,0
student_002,3,3,64
student_002,4,45,15378
student_002,5,7,1405
student_002,6,0,0
student_002,7,0,0
student_002,8,0,0
student_002,9,5,113
student_003,1,141,71820
student_003,2,122,39841
student_003,3,212,196996
student_003,4,28,19146
student_003,5,83,63798
student_003,6,188,177132
student_003,7,155,48580
student_003,8,138,35272
student_003,9,208,264275
student_006,1,15,876
student_006,2,218,69908
student_006,3,56,13501
student_006,4,102,16081
student_006,5,206,36381
student_006,6,1,9
student_006,7,110,24991
student_006,8,30,8054
student_006,9,0,0
student_007,1,0,0
student_007,2,0,0
student_007,3,0,0
student_007,4,0,0
student_007,5,0,0
student_007,6,0,0
student_007,7,0,0
student_007,8,0,0
student_007,9,0,0
student_012,1,0,0
student_012,2,0,0
student_012,3,0,0
student_012,4,0,0
student_012,5,0,0
student_012,6,0,0
student_012,7,0,0
student_012,8,0,0
student_012,9,0,0
student_013,1,3,126
student_013,2,0,0
student_013,3,0,0
student_013,4,0,0
student_013,5,0,0
student_013,6,0,0
student_013,7,0,0
student_013,8,0,0
student_013,9,0,0
student_015,1,7,276
student_015,2,0,0
student_015,3,0,0
student_015,4,0,0
student_015,5,0,0
student_015,6,0,0
student_015,7,0,0
student_015,8,0,0
student_015,9,0,0
student_016,1,165,17798
student_016,2,374,142749
student_016,3,297,111411
student_016,4,100,49307
student_016,5,105,18243
student_016,6,128,58921
student_016,7,23,4930
student_016,8,97,29097
student_016,9,96,11054
student_017,1,0,0
student_017,2,0,0
student_017,3,0,0
student_017,4,0,0
student_017,5,0,0
student_017,6,0,0
student_017,7,0,0
student_017,8,0,0
student_017,9,0,0
student_021,1,107,25119
student_021,2,16,7780
student_021,3,0,0
student_021,4,427,107732
student_021,5,96,12044
student_021,6,124,37541
student_021,7,70,5692
student_021,8,36,12146
student_021,9,89,10614
