student_id,team_size,presentation,essay,overall,n_biased_assigned,got_nov,got_rel,got_neu,got_ques,any_use,any_biased_use,prompts_total,minutes_total,words_total,prompts_biased,minutes_biased,words_biased,minutes_early,minutes_mid,minutes_late,mean_wk_coding,mean_wk_memo,slope_coding,slope_memo,eng_behavioral,eng_cognitive,eng_emotional,eng_autonomy,eng_social,deleg_autonomy,deleg_full_share,essay_gpt,essay_gemini,essay_3grader,essay_novelty_z,innov_gpt,innov_gemini,novelty_pref_z,reliability_pref_z,doc_code
student_001,1,8.666666666666666,8.666666666666666,8.666666666666666,1,1,0,0,1,1,0,41.0,62.416666666666664,4410.0,0.0,0.0,0.0,62.416666666666664,0.0,0.0,9.03277777777778,7.7125,0.10090342679127673,-0.021031746031745915,3.0,2.0,1.0,2.0,1.0,2.037037037037037,0.2222222222222222,6.0,9.0,7.888888888888888,1.5608934926919114,8.5,10.0,1.0312643455569033,0.04791192301805848,proj_16
student_002,2,7.166666666666667,8.333333333333334,7.75,1,0,1,0,1,1,1,34.0,120.56666666666666,2256.0,21.0,105.41666666666666,1882.0,0.016666666666666666,105.66666666666666,14.883333333333333,8.947916666666666,6.604166666666667,0.09226190476190478,0.11388888888888936,2.5,2.0,1.25,1.75,1.5,1.875,0.0625,8.5,10.0,8.944444444444445,0.41929953383445856,8.5,9.5,-0.11357536845340299,-0.20362567282674945,proj_08
student_003,1,7.625,8.166666666666666,7.895833333333333,2,1,1,0,0,1,1,918.0,3720.2833333333333,775913.0,319.0,1100.1833333333334,411685.0,1071.5666666666668,1059.3166666666668,1589.4,9.02875,8.204166666666666,-0.014087301587301307,-0.11547619047619073,3.0,3.0,2.0,3.0,1.6666666666666667,1.9178885630498534,0.09824046920821114,6.5,9.5,8.055555555555555,-0.8863352195596496,8.5,9.0,0.45884448855175014,-0.9582384603611732,proj_20
student_006,4,8.75,9.0,8.875,1,0,1,0,1,1,1,506.0,662.8666666666668,78527.0,118.0,116.05,16195.0,213.45000000000002,285.1666666666667,164.25,8.391428571428571,8.233333333333334,0.020000000000000333,0.0460317460317463,2.625,2.375,1.625,2.375,1.125,1.652027027027027,0.17567567567567569,8.5,10.0,9.166666666666666,-1.1014465322282267,8.5,10.0,1.0312643455569033,0.2994495188628664,proj_02
student_007,1,6.5,7.833333333333333,7.166666666666666,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.313333333333333,7.504166666666666,0.18405555555555522,0.028968253968254094,,,,,,,,7.5,10.0,8.444444444444445,0.46217204916862636,7.0,9.5,-0.11357536845340299,0.2994495188628664,proj_12
student_012,3,7.0,7.333333333333333,7.166666666666666,1,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.689166666666667,7.6083333333333325,-0.25420634920634927,-0.09920634920634887,,,,,,,,6.5,9.5,7.777777777777778,1.1027895036998383,6.0,8.0,0.17263456004917357,0.5509871147076744,proj_04
student_013,3,7.0,7.333333333333333,7.166666666666666,1,1,0,1,0,1,0,2.0,0.016666666666666666,66.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,8.707777777777778,7.612500000000001,0.011611111111111568,0.0019841269841275443,1.0,1.0,1.0,2.0,1.0,3.0,0.0,6.5,9.5,7.777777777777778,1.1027895036998383,6.0,8.0,0.45884448855175014,0.04791192301805848,proj_04
student_015,4,8.75,9.0,8.875,2,1,1,0,0,1,0,4.0,12.9,4.0,0.0,0.0,0.0,12.9,0.0,0.0,9.666666666666666,8.483333333333334,0.09238095238095234,0.012698412698412636,1.0,1.0,1.0,1.0,1.0,3.0,0.0,8.5,10.0,9.166666666666666,-1.1014465322282267,8.5,10.0,1.3174742740594798,-0.9582384603611732,proj_02
student_016,4,8.75,9.0,8.875,1,0,1,1,0,1,1,1063.0,2537.9666666666667,267853.0,140.0,351.51666666666665,54043.0,1182.2333333333331,737.0333333333333,618.6999999999999,9.043333333333335,8.283333333333333,0.11866666666666607,0.21190476190476226,2.888888888888889,3.0,2.111111111111111,2.888888888888889,2.3333333333333335,2.044349070100143,0.13161659513590845,8.5,10.0,9.166666666666666,-1.1014465322282267,8.5,10.0,-0.6859952254585562,0.04791192301805848,proj_02
student_017,3,7.0,7.333333333333333,7.166666666666666,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.605238095238095,7.561904761904762,0.28369047619047666,-0.17738095238095253,,,,,,,,6.5,9.5,7.777777777777778,1.1027895036998383,6.0,8.0,0.45884448855175014,-1.461313652050789,proj_04
student_021,4,8.25,9.0,8.625,1,0,1,0,1,1,1,561.0,1316.2833333333335,125080.0,29.0,125.89999999999999,10117.0,159.36666666666667,632.9499999999999,523.9666666666666,8.837222222222222,7.779166666666667,0.04104761904761924,-0.10912698412698404,3.0,2.75,1.625,2.75,1.5,1.3401162790697674,0.29941860465116277,6.5,8.5,8.0,0.08791277200170558,9.0,9.5,1.0312643455569033,-2.467464035430021,proj_07
student_022,3,8.125,8.833333333333334,8.479166666666668,0,0,0,1,1,1,0,137.0,380.4,31340.0,0.0,0.0,0.0,183.15,137.38333333333333,59.86666666666667,8.17142857142857,7.8428571428571425,0.6135714285714292,0.06301369863013752,2.5,2.0,1.5,2.25,1.75,1.75,0.234375,7.0,10.0,8.611111111111112,-1.572112577116463,8.5,10.0,0.7450544170543267,0.2994495188628664,proj_03
student_023,1,8.0,8.833333333333334,8.416666666666668,1,0,1,0,1,1,0,51.0,72.31666666666666,32895.0,0.0,0.0,0.0,72.31666666666666,0.0,0.0,9.472592592592592,8.545833333333334,0.0405000000000001,-0.043253968253967684,2.5,2.5,1.5,2.5,2.0,2.357142857142857,0.10714285714285714,7.5,10.0,8.777777777777779,-0.17673050097727516,8.5,9.5,0.7450544170543267,-0.9582384603611732,proj_21
student_024,4,8.75,9.0,8.875,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.630555555555555,8.525,0.08657142857142881,0.02936507936507962,,,,,,,,8.5,10.0,9.166666666666666,-1.1014465322282267,8.5,10.0,0.17263456004917357,-0.4551632686715574,proj_02
student_028,1,7.666666666666667,8.0,7.833333333333334,1,1,0,0,1,1,1,90.0,166.16666666666666,23146.0,30.0,59.36666666666667,18057.0,73.83333333333333,32.4,59.93333333333334,7.875,6.547619047619048,0.21538152610441721,-0.005797101449275545,2.5,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.0,2.037037037037037,0.18518518518518517,7.0,10.0,8.333333333333334,0.24631632778863738,7.5,8.5,-2.117044867971439,0.5509871147076744,proj_11
student_031,4,7.5,8.0,7.75,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.202857142857143,7.3125,-0.052857142857142825,0.10595238095238108,,,,,,,,7.5,9.0,8.166666666666666,1.8663348606998795,8.5,9.5,-1.5446250109662858,-0.7067008645163653,proj_01
student_032,1,8.166666666666666,8.666666666666666,8.416666666666666,1,1,0,1,0,1,1,2548.0,5053.066666666666,518449.0,685.0,1490.3999999999999,128306.0,282.29999999999995,1250.5333333333335,3520.2333333333336,8.621904761904762,8.0375,0.23392857142857207,0.07341269841269879,2.75,2.75,2.125,2.875,2.125,2.165251469627694,0.07642064010450686,7.5,9.5,8.555555555555555,-1.6035662451442232,8.5,10.0,-1.5446250109662858,-0.4551632686715574,proj_15
student_033,3,8.125,8.833333333333334,8.479166666666668,1,0,1,0,1,1,1,1513.0,3395.7166666666676,470863.0,164.0,348.48333333333335,34852.0,785.6333333333333,1378.0833333333333,1232.0,9.202222222222224,7.3125,-0.04049019607843143,-0.11309523809523776,3.0,3.0,2.0,3.0,1.8888888888888888,1.6682375117813384,0.19227144203581528,7.0,10.0,8.611111111111112,-1.572112577116463,8.5,10.0,1.3174742740594798,-0.20362567282674945,proj_03
student_035,4,6.0,7.5,6.75,1,1,0,0,1,1,1,102.0,280.41666666666663,49346.0,11.0,17.05,1493.0,196.9333333333333,62.3,21.183333333333334,9.01952380952381,7.466666666666668,0.08258680555555559,0.12977777777777763,2.6,2.2,1.4,2.4,1.2,1.7321428571428572,0.16071428571428573,8.0,9.5,8.333333333333334,-1.4496578371302977,7.5,9.5,0.17263456004917357,-1.461313652050789,proj_06
student_036,4,6.0,7.5,6.75,0,0,0,1,1,1,0,129.0,295.75,62833.0,0.0,0.0,0.0,210.58333333333334,0.0,85.16666666666666,8.790000000000001,7.24,0.09863453815261033,0.1283582089552235,2.6666666666666665,2.0,1.6666666666666667,2.0,1.6666666666666667,1.0,0.5555555555555556,8.0,9.5,8.333333333333334,-1.4496578371302977,7.5,9.5,1.0312643455569033,2.060212689776522,proj_06
student_037,2,7.25,8.5,7.875,1,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.359583333333333,8.328571428571427,-0.09535714285714258,-0.12142857142857137,,,,,,,,6.0,4.5,6.333333333333333,-0.2573587617357358,8.5,9.5,1.3174742740594798,1.305599902242098,proj_05
student_038,2,7.25,8.5,7.875,1,1,0,1,0,1,1,55.0,117.31666666666666,5770.0,1.0,0.0,9.0,117.31666666666666,0.0,0.0,9.044166666666667,7.141666666666667,0.09615705931495493,-0.04920634920634927,1.4,0.8,1.2,0.8,0.6,1.48,0.28,6.0,4.5,6.333333333333333,-0.2573587617357358,8.5,9.5,-0.9722051539611327,1.557137498086906,proj_05
student_039,1,9.625,9.666666666666666,9.645833333333332,1,1,0,0,1,1,0,160.0,450.40000000000003,121112.0,0.0,0.0,0.0,425.5166666666666,24.883333333333333,0.0,9.150476190476189,7.695833333333333,-0.08428571428571374,0.06547619047619073,2.5,2.25,1.75,2.5,1.25,2.425196850393701,0.031496062992125984,,,9.666666666666666,,,,0.45884448855175014,0.2994495188628664,proj_14
student_040,4,7.5,8.0,7.75,0,0,0,1,1,1,0,5.0,0.7833333333333333,123.0,0.0,0.0,0.0,0.7833333333333333,0.0,0.0,9.215714285714286,7.9875,0.14880952380952456,0.21785714285714294,3.0,2.0,2.0,2.0,2.0,0.3333333333333333,0.6666666666666666,7.5,9.0,8.166666666666666,1.8663348606998795,8.5,9.5,1.3174742740594798,-0.7067008645163653,proj_01
student_042,1,7.25,7.5,7.375,1,0,1,1,0,1,1,412.0,1023.85,68402.0,34.0,56.66666666666666,19775.0,312.78333333333336,140.1833333333333,570.8833333333333,7.114761904761905,5.933333333333334,-0.09896551724137927,0.08888888888888903,2.888888888888889,2.5555555555555554,1.4444444444444444,2.5555555555555554,0.8888888888888888,1.5533980582524272,0.18932038834951456,6.5,7.5,7.166666666666667,-0.0703320530759941,7.5,9.0,-0.3997852969559796,0.2994495188628664,proj_18
student_043,1,7.0,7.333333333333333,7.166666666666666,0,0,0,1,1,1,0,11.0,5.033333333333333,1908.0,0.0,0.0,0.0,5.033333333333333,0.0,0.0,8.786111111111111,7.25,0.28961904761904717,-0.10952380952380905,2.0,1.0,1.0,2.0,2.0,2.0,0.0,5.5,7.5,6.777777777777778,0.22408661187506923,6.0,4.5,1.6036842025620563,-0.4551632686715574,proj_13
