participantId,wave,ai_group,pre_grs_F_full,post_grs_F_full,pre_sharpe_full,post_sharpe_full,pre_grs_F_def1y,post_grs_F_def1y,pre_sharpe_def1y,post_sharpe_def1y,pre_grs_F_bear1y,post_grs_F_bear1y,pre_sharpe_bear1y,post_sharpe_bear1y,pre_grs_F_bull1y,post_grs_F_bull1y,pre_sharpe_bull1y,post_sharpe_bull1y
1898,wave3,Somewhat Risk-Seeking,0.8864944521457729,0.9510506578338424,0.0531537947087632,0.0432937784030002,0.6249774552517124,0.7581456905249199,0.1389636365258466,0.1010741399651882,0.6092816788441827,0.5928715561503396,-0.0025629302894598,-0.0334426020188169,1.1451265386771086,1.1790077400594223,0.1121688487433852,0.1017162967271896
132,wave3,Somewhat Risk-Averse,0.9530299869147196,0.9530299869147196,0.0429560512038123,0.0429560512038123,0.8088951406034245,0.8088951406034245,0.0824168908155549,0.0824168908155549,0.5769619477353488,0.5769619477353488,-0.0468902774997937,-0.0468902774997937,1.0717781896997352,1.0717781896997352,0.1321203495236762,0.1321203495236762
1848,wave3,Default,1.0643302222343989,1.0474603412747163,0.0144909247817224,0.021389196997873,0.8498219529454408,0.8242625660039878,0.0636283967835293,0.0758977326509856,0.5481666570190857,0.5596169256115032,-0.0644972046568873,-0.0581301585581272,1.2553728827540824,1.1960604666330292,0.0730977762264475,0.0960453756904236
522,wave3,Extremely Risk-Averse,1.0548290706506769,1.0548290706506769,0.0186914539911482,0.0186914539911482,0.8174809461251857,0.8174809461251857,0.0788394522194068,0.0788394522194068,0.5897182813405162,0.5897182813405162,-0.0365011707058367,-0.0365011707058367,1.2892192723082363,1.2892192723082363,0.0560509877676764,0.0560509877676764
2285,wave3,Default,1.077270740511528,0.9496265353286334,-0.0044955206910062,0.0435351637097521,0.864703766599377,0.689594352778249,0.055267659891377,0.1219730612307386,0.555629528871851,0.5903949680717179,-0.0604224396869292,0.0358666872646619,1.2324478432777295,1.2069090441474717,0.0827040754513344,0.0922634311943368
1910,wave3,Extremely Risk-Seeking,0.9790045215227158,0.9790045215227158,0.0382507968761227,0.0382507968761227,0.834686191139832,0.834686191139832,0.0711450455963596,0.0711450455963596,0.5448240356062308,0.5448240356062308,-0.0662423292811754,-0.0662423292811754,1.1594158084264137,1.1594158084264137,0.1078784971830189,0.1078784971830189
1631,wave3,Somewhat Risk-Seeking,0.9968065189268258,0.9968065189268258,0.0346614358619278,0.0346614358619278,0.7090535144643921,0.7090535144643921,0.1164038258261351,0.1164038258261351,0.5597570147724834,0.5597570147724834,-0.0580480009459771,-0.0580480009459771,1.0302645738453242,1.0302645738453242,0.1422504177913153,0.1422504177913153
716,wave3,Extremely Risk-Seeking,0.8847492768013713,0.9909577586294882,0.0533953093067833,0.0358801205995273,0.7247520046513592,0.8619999815877818,0.1117200490811643,0.0568768166491989,0.5837944757160948,0.5366901827350038,-0.0416469916762413,-0.0703112412113784,0.946593988711701,1.0952621507708569,0.1608833260532155,0.1260563318231101
1040,wave3,Somewhat Risk-Seeking,0.952653168486583,0.9029612332059308,0.0430205494520034,0.0508191202669424,0.7045961981344059,0.6148570110334518,0.1177014814722339,0.1414524032165154,0.6088744570016542,0.5961031856826302,-0.0058420312686628,-0.0299876440388189,1.0108281211144905,1.01163756920476,0.146770926321974,0.146585220012746
1893,wave3,Default,0.9337222943556532,0.930350429816396,0.0461458284012484,0.0466807122670391,0.8014007580738886,0.7544269994964667,0.0854203503444853,0.1023120305364693,0.601132990048465,0.5806183221938931,-0.0236296390282776,-0.0441612676213613,1.026790297661154,0.9558308125617824,0.1430680878479061,0.1589239907372852
2128,wave3,Extremely Risk-Seeking,0.9594684800260946,1.032911546092235,0.0418387569805541,0.0259046825566832,0.7141979149973456,0.861892579597971,0.1148889056875468,0.0569398095973962,0.6078943371277045,0.5504881041155734,0.010023469208091,-0.0632573770014558,1.0796470696211176,1.2155869151486542,0.1301178721356211,0.0891268207640849
